Dates,AAPL_HIGH,AAPL_LOW,AAPL_OPEN,AAPL_LAST,AAPL_IV1st_90%,AAPL_IV1st_95%,AAPL_IV1st_97.5%,AAPL_IV1st_100%,AAPL_IV1st_102.5%,AAPL_IV1st_105%,AAPL_IV1st_110%,AAPL_IV2nd_90%,AAPL_IV2nd_95%,AAPL_IV2nd_97.5%,AAPL_IV2nd_100%,AAPL_IV2nd_102.5%,AAPL_IV2nd_105%,AAPL_IV2nd_110%,AAPL_IV1m_90%,AAPL_IV1m_95%,AAPL_IV1m_97.5%,AAPL_IV1m_100%,AAPL_IV1m_102.5%,AAPL_IV1m_105%,AAPL_IV1m_110%,AAPL_IV2m_90%,AAPL_IV2m_95%,AAPL_IV2m_97.5%,AAPL_IV2m_100%,AAPL_IV2m_102.5%,AAPL_IV2m_105%,AAPL_IV2m_110%,AAPL_IV3m_90%,AAPL_IV3m_95%,AAPL_IV3m_97.5%,AAPL_IV3m_100%,AAPL_IV3m_102.5%,AAPL_IV3m_105%,AAPL_IV3m_110%
17/1/2018,44.813,43.768,44.038,44.775,57.5964,34.2832,24.7408,21.3892,25.1909,33.4742,51.4414,30.9232,28.2275,27.3824,26.7997,26.6355,26.5916,27.4424,30.6154,27.9875,27.156,26.5948,26.387,26.3538,27.143,26.3701,24.8553,24.2681,23.9333,23.647,23.5596,23.69,24.8737,23.7,23.2669,23.0695,22.8549,22.7187,22.6442
18/1/2018,45.025,44.563,44.843,44.815,55.2168,30.4621,24.4165,19.1665,26.9325,42.582,56.4478,30.59,28.1071,27.4756,26.9483,26.7877,26.9435,28.0579,30.0481,27.657,27.0132,26.4689,26.2837,26.4191,27.3944,26.3811,24.8908,24.2986,23.9521,23.6933,23.6191,23.9269,24.9506,23.8644,23.3977,23.2048,22.915,22.7395,22.7945
19/1/2018,44.895,44.353,44.653,44.615,34.8679,24.4166,20.4997,18.7683,19.7418,22.1587,30.0278,29.6636,26.9918,26.3112,25.8696,25.6896,25.8363,27.0275,28.9514,26.5093,25.7912,25.3278,25.0608,25.1752,26.2213,25.7957,24.2582,23.7809,23.4187,23.1496,23.0855,23.3772,24.5371,23.3882,23.0525,22.8662,22.6614,22.4704,22.4495
22/1/2018,44.445,44.15,44.325,44.25,30.0348,27.6396,26.922,26.3749,26.2926,26.2754,27.4839,25.7146,24.2546,23.7173,23.2753,23.0036,23.0573,23.3149,28.2571,26.156,25.5072,24.9868,24.8443,24.8699,25.652,25.4043,24.0049,23.5129,23.1266,22.8857,22.8849,23.0665,24.5023,23.3179,22.9643,22.7415,22.5873,22.4249,22.3669
23/1/2018,44.86,44.205,44.325,44.26,30.1405,27.9712,27.2615,27.0712,26.79,26.967,28.195,26.1824,24.7175,24.2107,23.9267,23.7611,23.5617,23.8857,28.3004,26.3868,25.6643,25.4512,25.1402,25.286,26.1554,25.7922,24.4328,23.9536,23.6906,23.5507,23.3479,23.5553,24.8713,23.7992,23.3999,23.1877,23.1014,22.891,22.7957
24/1/2018,44.325,43.3,44.313,43.555,31.4058,29.4473,28.9549,28.8821,28.6224,28.7643,29.7494,27.0706,25.7069,25.2921,24.9936,24.838,24.7178,24.8733,29.2145,27.627,27.1834,26.8513,26.5508,26.602,27.1486,26.5861,25.3285,24.9074,24.7138,24.519,24.3608,24.5008,25.6355,24.6375,24.2105,24.2024,23.9294,23.6947,23.766
25/1/2018,43.738,42.633,43.626,42.778,32.0174,30.7359,30.4518,30.3769,30.5177,30.6531,31.7775,27.677,26.4975,26.123,25.9467,25.9717,26.0942,26.2476,29.6719,28.4021,28.1194,27.9826,27.8955,27.9199,28.4913,27.147,26.0696,25.7185,25.5646,25.6642,25.6943,25.7381,26.2714,25.4163,25.119,24.9938,25.1515,25.015,24.8597
26/1/2018,43,42.515,43,42.878,32.054,30.7998,30.4496,30.486,30.5041,30.5347,31.8302,27.6957,26.5162,26.2038,26.0359,25.9872,26.1259,26.4256,29.267,28.2207,27.908,27.841,27.6683,27.7986,28.4339,27.0825,26.0118,25.7129,25.5885,25.6221,25.6577,25.8271,26.2344,25.3757,25.1052,25.0311,25.1314,25.0153,24.9507
29/1/2018,42.54,41.768,42.54,41.99,37.3699,37.0304,37.3232,37.7457,37.8941,37.9774,38.6747,31.1312,30.4307,30.22,30.2431,30.1314,29.9936,30.3444,33.5241,32.7964,32.8995,32.7404,32.7119,32.8411,33.3467,29.698,29.0764,28.8975,29.0048,28.9799,28.8484,28.9871,28.2243,27.7196,27.5688,27.6742,27.6865,27.558,27.4405
30/1/2018,41.843,41.175,41.381,41.743,38.7191,38.1241,38.2348,38.356,38.1139,37.7924,38.3218,31.0774,30.3599,30.0667,29.8843,29.7739,29.5263,29.5107,33.9558,33.1807,32.9233,32.6813,32.4579,32.4159,32.6617,29.4361,28.8037,28.5566,28.4592,28.4388,28.2031,28.0864,27.9795,27.4092,27.1842,27.1039,27.096,26.8827,26.6318
31/1/2018,42.11,41.625,41.718,41.858,39.9284,39.0342,38.9222,38.5381,38.269,37.884,38.8906,31.4209,30.7047,30.3534,30.0545,29.8174,29.5838,29.7162,34.6326,33.446,32.9187,32.3979,32.388,32.3114,32.9006,29.5885,28.84,28.5596,28.4082,28.2955,28.0656,28.0171,28.0508,27.322,27.0992,27.0228,26.9576,26.7352,26.4749
1/2/2018,42.155,41.69,41.791,41.945,38.328,36.4593,36.365,36.2969,35.0092,34.1139,34.4475,27.9615,27.9673,27.8909,27.4064,27.026,26.9219,26.6347,32.6059,31.055,30.7184,30.637,29.3921,29.8494,28.1059,26.5238,27.5186,27.1858,26.2365,27.5503,25.716,25.4723,26.5387,25.7071,25.4883,25.3304,25.1352,24.9122,24.5202
2/2/2018,41.7,40.025,41.5,40.125,31.7007,27.7872,26.9302,26.6873,26.8938,27.5502,31.0694,27.7852,26.6029,26.0823,25.6049,25.8439,25.9026,26.1212,28.3275,26.654,25.9,25.7054,26.0692,26.0921,27.0286,26.7219,25.747,25.3985,25.1684,25.3227,25.1077,25.2877,26.4812,25.7254,25.5095,25.3382,25.366,25.2692,25.16
5/2/2018,40.97,39,39.775,39.123,43.0591,40.0734,39.2731,40.3646,36.9147,37.0566,37.2274,33.1915,31.9394,31.6439,31.4927,31.2446,30.8022,30.4643,35.4065,34.2486,33.5053,33.0772,32.2235,31.3795,31.3257,31.0508,30.1926,29.9566,29.7534,29.6961,29.4468,29.1554,30.3579,29.6752,29.3951,29.2977,29.1331,28.7293,28.6442
6/2/2018,40.93,38.5,38.708,40.758,39.7938,33.5463,31.6102,29.9679,28.7367,28.784,31.3709,30.9525,29.0333,28.2967,27.6482,27.1497,26.7958,26.4162,32.0052,29.6276,28.5231,27.7873,27.2483,26.7743,27.028,29.2752,27.9183,27.3161,26.9039,26.572,26.1504,25.9115,29.4506,28.4191,27.9912,27.6844,27.3805,27.0206,26.6155
7/2/2018,40.85,39.767,40.771,39.885,41.1132,34.1929,31.6812,29.8472,29.4454,30.1752,32.9787,30.6116,28.458,27.6569,27.1855,26.7665,26.5283,26.5574,31.8374,29.0393,28.0632,27.3227,27.034,26.921,27.4382,28.783,27.2422,26.6429,26.5699,26.2086,25.9481,25.8306,28.7894,27.7555,27.3655,27.1413,26.8291,26.5756,26.3377
8/2/2018,40.25,38.758,40.073,38.788,48.4042,41.4083,39.0482,37.4832,36.9253,36.6278,38.2839,35.1411,32.712,31.788,31.3098,31.309,30.7341,30.1529,36.2538,33.2478,32.1958,31.679,31.5044,31.2821,31.0816,32.3602,30.7051,30.0535,29.9564,29.8776,29.4179,28.869,31.6951,30.7015,30.2876,30.063,30.0373,29.6759,29.2465
9/2/2018,39.473,37.56,39.268,39.103,50.6056,39.3069,35.1424,32.6993,30.992,30.7203,34.1539,34.6875,31.3728,30.1468,29.2291,28.5689,27.9093,27.3325,35.1548,31.9023,30.5489,29.5317,28.806,28.2268,27.6312,31.5396,29.6476,28.8709,28.4249,28.1219,27.6424,27.2635,31.5486,30.2955,29.7783,29.3104,28.8789,28.4093,27.9097
12/2/2018,40.973,39.378,39.625,40.678,50.3346,38.9702,34.1885,30.6845,30.1032,31.3144,38.5136,30.5122,27.4226,26.213,25.3406,24.6965,24.1715,23.8198,30.9697,27.6467,26.2929,25.2483,24.7782,24.2693,24.3057,27.9244,25.9054,25.0885,24.5605,24.2534,23.7183,23.3479,28.4272,26.9836,26.328,25.9175,25.5208,25.011,24.4516
13/2/2018,41.188,40.413,40.488,41.085,54.3303,40.0067,32.9685,28.8917,27.5028,28.7153,41.7852,29.9011,26.4809,25.1012,24.3748,23.549,23.0442,23.0949,30.2252,26.6347,25.1736,24.3679,23.5331,23.0877,23.4184,27.3372,25.3102,24.4272,24.1759,23.5945,23.1078,22.8148,28.3216,26.8957,26.2705,25.8235,25.348,24.9263,24.3546
14/2/2018,41.885,40.72,40.761,41.843,61.916,40.4036,30.693,25.8897,25.7825,30.3477,40.945,28.0815,24.4783,23.0878,22.1869,21.7024,21.4354,22.1207,28.3028,24.5518,23.1186,22.2646,21.6974,21.4384,22.2705,25.786,23.6929,22.8607,22.4786,22.181,21.6827,21.4896,26.8958,25.4707,24.9651,24.5452,24.0896,23.5686,23.1296
15/2/2018,43.273,42.25,42.448,43.248,59.0648,41.5102,32.601,26.4984,32.1907,41.9758,61.5998,28.2051,24.3047,23.0674,22.2952,21.8758,21.8,23.4064,28.3003,24.3373,23.0753,22.2883,21.8886,21.8416,23.5234,25.7206,23.713,22.896,22.4231,22.1043,21.7577,21.8759,26.9146,25.5764,24.9944,24.5537,24.1661,23.7833,23.4264
16/2/2018,43.705,42.943,43.09,43.108,37.2213,27.5088,23.7911,21.5371,21.8958,24.8301,31.9498,27.6558,23.9847,22.7418,21.9373,21.5751,21.7035,23.5982,27.6558,23.9847,22.7418,21.9373,21.5751,21.7035,23.5982,25.0798,23.0291,22.1696,21.6827,21.4646,21.2217,21.2306,26.0965,24.7537,24.1678,23.7368,23.4064,23.0981,22.7102
20/2/2018,43.565,42.855,43.013,42.963,28.7214,24.6186,23.124,22.3274,21.8263,21.8554,23.6999,24.8478,22.9558,22.2061,21.6762,21.4106,21.1877,21.3938,27.9402,24.2547,22.8637,22.2416,21.7329,21.7115,23.2071,24.8478,22.9558,22.2061,21.6762,21.4106,21.1877,21.3938,26.2756,24.9978,24.4509,23.997,23.6215,23.2904,22.9771
21/2/2018,43.53,42.753,43.208,42.768,28.1474,23.8662,22.3919,21.2938,20.6799,20.6262,22.2371,24.7538,22.7203,21.8501,21.2608,21.0685,20.7379,20.7457,27.2936,23.655,22.2673,21.3548,20.8294,20.7152,22.1034,24.8403,22.8537,22.0009,21.417,21.2083,20.8762,20.8608,26.2617,25.0691,24.5137,24.0169,23.5287,23.1848,22.7879
22/2/2018,43.488,42.928,42.95,43.125,28.3196,23.7006,21.9599,20.5652,20.0558,19.9441,21.7256,24.3017,22.3117,21.4003,20.8813,20.5431,20.1415,20.1694,26.8387,23.073,21.6734,20.5197,20.1862,19.9571,21.2379,24.5034,22.5835,21.7145,21.208,20.8663,20.4665,20.429,26.0709,24.723,24.2069,23.7854,23.3957,23.0151,22.472
23/2/2018,43.913,43.385,43.418,43.875,27.1862,21.9643,20.1486,18.7519,17.8772,17.8101,20.3477,23.3331,21.0411,20.1687,19.2433,18.8066,18.3024,18.4049,25.6443,21.6341,20.0209,18.9342,18.1212,17.9273,19.5828,23.625,21.4847,20.6532,19.7885,19.3375,18.8455,18.86,25.0569,23.6766,23.0705,22.5044,21.97,21.5465,21.1207
26/2/2018,44.848,44.053,44.088,44.743,28.0529,22.2913,20.5086,19.2621,18.6691,18.9347,21.9882,23.5611,21.195,20.2821,19.7344,19.1185,18.6878,18.7994,25.5029,21.5424,20.0776,19.156,18.5783,18.412,20.1024,24.0736,21.9781,21.1876,20.6618,20.1137,19.6964,19.607,24.9804,23.535,23.0091,22.5492,22.1366,21.7512,21.2418
27/2/2018,45.12,44.54,44.775,44.598,29.5923,24.2987,22.5516,21.4281,20.7713,20.7397,23.558,24.5757,22.4947,21.7346,21.2115,20.6815,20.2738,20.2207,26.6535,23.2585,22.0051,21.1785,20.6401,20.4473,21.4796,25.1265,23.3182,22.6418,22.1355,21.6388,21.2322,21.0323,25.8762,24.6179,24.1135,23.6221,23.167,22.7686,22.3301
28/2/2018,45.154,44.513,44.815,44.53,30.8695,25.4484,23.7682,22.6349,22.1244,22.3866,25.0231,25.7248,23.4764,22.7098,22.2192,21.8028,21.4622,21.5437,27.1775,24.0047,22.9419,22.1634,21.8479,21.795,22.6998,26.2302,24.3295,23.6831,23.2159,22.8259,22.4747,22.349,26.6383,25.392,24.9442,24.5428,24.1614,23.7743,23.3396
1/3/2018,44.944,43.165,44.635,43.75,35.2983,29.197,27.1129,25.4278,24.1651,24.0465,24.8779,28.1395,25.6689,24.6836,23.8321,23.3125,22.7885,22.551,29.9392,26.5339,25.1961,24.178,23.5057,23.1067,23.4895,28.4779,26.5523,25.7624,25.0527,24.5323,24.0608,23.7188,28.1538,26.8819,26.2316,25.7887,25.2324,24.8961,24.3841
2/3/2018,44.075,43.113,43.2,44.053,32.7796,26.5009,24.3188,22.5788,21.3211,20.7562,22.4692,27.2014,24.6332,23.5758,22.6788,22.1576,21.5711,21.3344,28.4041,25.0391,23.6463,22.5564,21.6925,21.2327,21.4633,27.7388,25.7724,24.9432,24.2137,23.6982,23.1856,22.7939,27.6311,26.2888,25.7098,25.1532,24.6228,24.1258,23.651
5/3/2018,44.435,43.63,43.803,44.205,33.2113,25.9442,23.4689,21.5758,20.3149,19.9198,22.6792,26.3837,23.7568,22.7073,21.9072,21.2956,20.7323,20.4074,27.2588,23.8238,22.4658,21.5042,20.6396,20.142,20.4456,27.2258,25.2684,24.4744,23.7991,23.2117,22.7359,22.1938,27.0135,25.5933,25.0165,24.416,23.8153,23.4056,22.6685
6/3/2018,44.563,44.033,44.478,44.168,33.0851,25.6311,23.0754,21.3455,20.4155,20.6565,24.897,26.186,23.4995,22.4306,21.6022,21.0733,20.5519,20.369,27.0016,23.4859,22.1112,21.1658,20.5016,20.2427,20.9782,27.0108,25.1194,24.3614,23.7408,23.1944,22.6831,22.2237,26.67,25.3198,24.7522,24.2238,23.6317,23.1878,22.6148
7/3/2018,43.963,43.568,43.735,43.758,34.3244,26.1649,23.1889,21.2759,20.0972,20.4263,24.9908,26.6223,23.6181,22.4454,21.8639,21.0881,20.5402,20.3198,27.1206,23.561,22.0808,21.1047,20.3544,19.9697,20.5005,27.3376,25.2854,24.4479,23.8312,23.2371,22.7668,22.2795,26.8252,25.3496,24.7053,24.0499,23.5813,23.1536,22.6281
8/3/2018,44.28,43.768,43.87,44.235,33.3854,25.7376,22.4386,20.2871,19.2535,20.0258,25.8524,25.4981,22.402,21.1333,20.1895,19.5777,19.0869,19.1435,26.3333,22.484,20.9785,19.9471,19.254,18.8242,19.5481,29.3506,24.5154,24.0156,23.5112,22.4837,21.4097,22.8773,25.9828,24.4271,23.7977,23.2273,22.6156,22.1964,21.6509
9/3/2018,45,44.348,44.49,44.995,33.5746,24.1551,19.8731,17.5275,17.0447,19.2917,28.1252,23.6,20.5091,19.2831,18.4545,17.8088,17.4795,18.1266,24.2087,20.3621,18.9348,17.9437,17.1671,16.8738,18.0122,25.1998,22.7185,21.6998,21.067,20.5993,20.0357,22.0969,24.6222,23.0288,22.4865,21.958,21.4753,21.0934,20.6883
12/3/2018,45.598,45.053,45.073,45.43,41.4897,29.2432,24.3738,21.4001,20.6189,22.8026,35.3317,24.126,21.0723,19.9869,19.2155,18.6923,18.3305,18.8877,24.592,21.1078,19.833,18.8765,18.3677,18.0671,18.9206,24.9967,23.551,22.8627,22.2905,21.7018,21.2943,20.8837,24.8963,23.5108,22.9897,22.44,21.8238,21.4566,21.0445
13/3/2018,45.875,44.81,45.648,44.993,49.1084,32.0676,26.1367,23.0403,21.7366,26.0751,34.8038,25.2043,22.4877,21.3891,20.9352,20.1447,19.6633,19.8767,26.1078,22.783,21.4566,20.8335,20.0869,19.7244,20.3866,26.6543,24.8933,24.2201,23.8611,23.2307,22.791,22.6321,25.7883,24.3924,23.8426,23.4702,22.9408,22.5656,22.1641
14/3/2018,45.13,44.453,45.08,44.61,55.3426,36.9121,28.7286,24.4403,24.6771,31.092,46.4522,25.8829,22.9672,21.7664,21.0131,20.4509,20.0403,20.2285,26.3895,23.1224,21.7961,20.9539,20.429,19.9954,20.6381,26.9246,25.2018,24.5332,23.9693,23.4216,22.9898,22.6317,25.9664,24.5943,24.0712,23.5027,23.0673,22.7026,22.1968
15/3/2018,45.06,44.518,44.625,44.663,50.9545,35.9286,28.8037,22.2186,26.0472,38.6908,46.8614,24.7992,21.7005,20.5111,19.7157,19.0592,18.7003,19.1429,25.2902,21.7941,20.4752,19.6235,18.9276,18.6051,19.2731,26.3381,24.6447,23.9837,23.5292,23.0101,22.5775,22.2248,25.6594,24.3048,23.6692,23.1887,22.7083,22.3696,21.8689
16/3/2018,44.78,44.405,44.663,44.505,31.822,23.798,19.9359,17.4024,16.9369,18.8875,27.7805,23.8839,20.6753,19.3835,18.5807,17.9764,17.6255,18.3852,24.2583,20.6687,19.2965,18.3653,17.7708,17.488,18.565,25.4682,23.6848,22.9596,22.491,22.0321,21.5838,21.1349,24.5421,23.0861,22.5301,22.1269,21.7369,21.3623,20.866
19/3/2018,44.368,43.415,44.33,43.825,27.4499,23.5312,21.9621,20.6997,19.9204,19.4304,19.5578,27.8307,25.9188,25.204,24.5044,23.8029,23.2282,22.6205,27.5529,23.5826,21.9956,20.7096,19.9293,19.4315,19.5773,27.7616,25.8693,25.1554,24.4602,23.7631,23.1889,22.5877,26.2876,24.8159,24.1305,23.5404,22.9405,22.3991,21.9122
20/3/2018,44.2,43.735,43.81,43.81,27.099,23.2408,21.7312,20.546,19.6125,19.0362,19.0286,27.73,25.8521,25.1528,24.5113,23.8183,23.284,22.5395,27.099,23.2408,21.7312,20.546,19.6125,19.0362,19.0286,27.5707,25.7301,25.0407,24.4137,23.7299,23.2085,22.4749,25.9636,24.5012,23.9268,23.4445,22.8407,22.4401,21.8239
21/3/2018,43.773,42.815,43.76,42.818,28.546,24.8203,23.2726,22.1358,21.3212,20.7378,20.7091,29.0222,27.1279,26.3435,25.6905,25.1188,24.5442,23.8435,28.3523,24.716,23.2971,22.2152,21.4325,20.7954,20.6743,28.7662,26.9238,26.1669,25.5292,24.9603,24.4108,23.7181,27.0225,25.5464,24.9746,24.4542,23.9416,23.5341,22.8841
22/3/2018,43.17,42.15,42.5,42.213,31.5681,27.6258,26.1825,24.7888,23.8087,23.0598,22.7162,31.0597,29.2084,28.232,27.5946,26.9082,26.3113,25.5061,31.09,27.5086,26.0699,24.8068,23.8678,23.1077,22.5414,30.6836,28.8757,27.9642,27.2946,26.6243,26.052,25.2846,28.7783,27.2278,26.6038,25.8412,25.2644,24.8097,24.1729
23/3/2018,42.48,41.235,42.098,41.235,35.4056,31.522,29.8803,28.5391,27.6399,26.6844,26.0041,33.8974,31.8418,31.0165,30.2222,29.5404,28.9437,28.0548,32.928,31.0719,29.5217,28.2255,27.3463,26.4298,25.6904,33.3088,31.3607,30.5803,29.8249,29.1505,28.5602,27.7173,30.8641,29.3588,28.7415,28.1433,27.5227,27.0093,26.2999
26/3/2018,43.275,41.61,42.018,43.193,31.4146,27.3808,25.6859,24.1771,23.2494,22.3813,22.2943,30.945,28.8956,28.0656,27.1493,26.3332,25.6435,24.6504,31.2912,27.5037,26.0495,24.4396,23.3784,22.3355,21.534,30.2553,28.3678,27.561,26.6052,25.805,25.1786,24.2957,28.5546,26.9967,26.3049,25.4192,24.7149,24.2018,23.4954
27/3/2018,43.788,41.73,43.42,42.085,34.9067,31.1798,29.5761,28.2427,27.0193,26.1392,25.8745,34.237,32.5262,31.5385,30.7073,29.9469,29.1951,28.0878,33.6461,30.66,29.2813,27.9246,27.0444,26.2422,24.7714,33.1885,31.5307,30.6931,29.8342,29.0939,28.4339,27.4335,30.8724,29.388,28.7736,27.9643,27.3109,26.8404,26.0589
28/3/2018,42.505,41.298,41.813,41.62,36.7236,32.6896,30.9185,29.5539,28.2174,27.0761,26.4515,35.2289,33.2143,32.2917,31.4429,30.6719,29.9557,28.8898,36.0679,33.1718,30.9015,29.7829,28.6831,27.5577,26.6219,33.9526,32.167,31.3332,30.5216,29.7739,29.1077,28.1557,31.4677,30.0659,29.3921,28.7083,28.023,27.4743,26.6775
29/3/2018,42.938,41.725,41.951,41.945,33.437,29.4054,27.6728,26.1065,25.0403,24.1787,24.2187,33.0286,31.0292,30.2187,29.442,28.5853,27.8166,26.7858,29.6706,28.2471,28.7532,27.9015,28.1819,25.7571,24.5033,31.8304,30.0337,29.3026,28.5752,27.7891,27.1215,26.1706,29.8048,28.3287,27.7621,27.143,26.4852,25.9418,25.0603
2/4/2018,42.235,41.118,41.97,41.67,39.0916,34.7302,32.7994,31.2783,30.0435,28.9575,28.5057,36.1925,33.9166,32.9376,32.1305,31.3771,30.6077,29.2499,38.3393,35.5002,34.6322,33.9593,32.7175,31.5444,29.6229,34.1175,32.1094,31.2642,30.5146,29.8521,29.1041,27.9424,31.6829,30.049,29.3366,28.7419,28.3036,27.6001,26.6231
3/4/2018,42.186,41.22,41.91,42.098,36.1618,31.3885,29.5593,28.0346,26.6326,25.6949,25.6594,34.5058,32.1741,31.2602,30.2701,29.3464,28.5509,27.3627,35.9797,34.0145,32.8747,31.7226,30.6981,29.5674,27.6546,32.5706,30.6445,29.7762,28.8398,28.0178,27.3148,26.2473,30.4907,28.8848,28.1421,27.324,26.6321,26.0612,25.0785
4/4/2018,43.003,41.193,41.22,42.903,33.7147,28.5006,26.5351,24.9618,23.5519,22.5627,23.7428,32.2101,29.9991,28.9386,27.9785,27.1675,26.2275,24.9623,34.6533,31.8334,30.6245,29.803,28.4414,27.4589,26.195,30.3524,28.5176,27.6518,26.7762,25.9305,25.1759,24.0118,28.6018,26.9796,26.2599,25.4825,24.681,24.0783,23.093
5/4/2018,43.558,43.02,43.145,43.2,32.0209,26.7948,24.9485,23.2735,21.9768,21.1387,22.5477,30.9627,28.842,27.8239,26.9923,26.1971,25.3831,24.193,33.1031,30.8483,29.4539,28.4317,27.6596,26.3965,25.1249,29.587,27.6504,26.5126,25.5865,25.0552,24.501,22.8903,27.5644,25.991,25.2619,24.5491,23.8753,23.2563,22.293
6/4/2018,43.12,42.05,42.743,42.095,35.646,30.9375,29.1794,27.6496,26.3442,25.1843,25.9577,34.1189,31.9997,31.1636,30.5051,29.7113,28.8562,27.4904,36.3027,34.1366,33.1244,32.4046,31.4447,30.9561,28.6424,31.8104,30.0178,29.2637,28.5616,27.8611,27.092,25.8012,29.5664,27.8344,27.3181,26.705,26.0888,25.5161,24.5114
